model_name,dataset_name,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,AUROC,n_params,accuracy_std,precision_macro_std,precision_weighted_std,recall_macro_std,recall_weighted_std
imagine_gcn_auto,cross_subject_data_2_new,0.5678879310344828,0.5898039651037422,0.5890310993072765,0.5673739788725094,0.5678879310344828,0.7115729816616242,1236996.0,,,,,
imagine_gcn_auto,cross_subject_data_3_new,0.5484913793103449,0.5650576887216927,0.566841101694346,0.5480272259519408,0.5484913793103449,0.6988795078332461,1236996.0,,,,,
imagine_gcn_auto,cross_subject_data_4_new,0.5775862068965517,0.6018583902570588,0.6004271280363037,0.5767209110837309,0.5775862068965517,0.7176910560934138,1236996.0,,,,,
imagine_gcn_auto,cross_subject_data_5_new,0.5872844827586207,0.6212327566685214,0.6245183950187105,0.5889586878870697,0.5872844827586207,0.7260339206377463,1236996.0,,,,,
imagine_gcn_auto,cross_subject_data_6_new,0.5560344827586207,0.5703871053482857,0.5703847818895466,0.5528022729487111,0.5560344827586207,0.7021736746417448,1236996.0,,,,,
imagine_gcn_auto,cross_subject_data_7_new,0.5484913793103449,0.5744224729476999,0.5760848046169535,0.5496125958220278,0.5484913793103449,0.6997052626235729,1236996.0,,,,,
imagine_gcn_auto,cross_subject_data_8_new,0.5398706896551724,0.5695178006926478,0.5715412601547784,0.5403330310806045,0.5398706896551724,0.6937356839907629,1236996.0,,,,,
imagine_gcn_auto,cross_subject_data_9_new,0.5592672413793104,0.5723413555595698,0.5796022830326649,0.5580384935673838,0.5592672413793104,0.7060702787040722,1236996.0,,,,,
imagine_gcram,cross_subject_data_0_new,0.5829741379310345,0.5881242561213156,0.5885490056416257,0.5826420363764421,0.5829741379310345,0.7218344609191679,1462316.0,,,,,
imagine_gcram,cross_subject_data_1_new,0.5495689655172413,0.5599870467549836,0.5615366154537066,0.5502617939336859,0.5495689655172413,0.700103443379064,1462316.0,,,,,
imagine_gcram,cross_subject_data_2_new,0.5765086206896551,0.5841452722070469,0.5839975061749665,0.5769012538616243,0.5765086206896551,0.7178569467112667,1462316.0,,,,,
imagine_gcram,cross_subject_data_3_new,0.5592672413793104,0.5689629319616356,0.5703775017525118,0.5588288733622313,0.5592672413793104,0.7060161554798126,1462316.0,,,,,
imagine_gcram,cross_subject_data_4_new,0.5668103448275862,0.5848372547591297,0.5858059350027967,0.5679688932614333,0.5668103448275862,0.7119022792483365,1462316.0,,,,,
imagine_gcram,cross_subject_data_5_new,0.5980603448275862,0.605489091278565,0.6078519049254076,0.597906579013116,0.5980603448275862,0.7321464682018848,1462316.0,,,,,
imagine_gcram,cross_subject_data_6_new,0.5441810344827587,0.5533480895323001,0.555357313566819,0.5431261613888663,0.5441810344827587,0.6956560131634626,1462316.0,,,,,
imagine_gcram,cross_subject_data_7_new,0.5829741379310345,0.5971225848352812,0.5996687698223118,0.5833524867627302,0.5829741379310345,0.7223938295035581,1462316.0,,,,,
imagine_gcram,cross_subject_data_8_new,0.53125,0.5438940452682903,0.5448302850982302,0.5309292961489703,0.53125,0.6873986173355808,1462316.0,,,,,
imagine_gcram,cross_subject_data_9_new,0.5980603448275862,0.602756179438782,0.6089906424457868,0.5971869261081886,0.5980603448275862,0.7319689410620327,1462316.0,,,,,
imagine_gcram_auto,cross_subject_data_0_new,0.5926724137931034,0.5988779829761363,0.59946567808492,0.5925232814446234,0.5926724137931034,0.7284116752017721,795948.0,,,,,
